"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2FC"
"ENSG00000006047.13",46.393461386376,5.19343231707386,1.30621044407174,3.97595375281552,7.00977481436776e-05,0.00180844055075507,5.19343231707386
"ENSG00000187193.9",14124.6131371011,4.9092366341636,0.0581035147428494,84.4912163384705,0,0,4.9092366341636
"ENSG00000170385.10",20809.3340173101,4.19591849709542,0.0380848237228123,110.172979337754,0,0,4.19591849709542
"ENSG00000233929.1",47.7486277905229,3.51366997388965,0.57228695600342,6.13969956335796,8.26776982669353e-10,5.86571882704459e-08,3.51366997388965
"ENSG00000198417.7",5557.56205302279,3.25727614541992,0.065534558628159,49.7031827726436,0,0,3.25727614541992
"ENSG00000125144.14",234.019336334001,3.1883515346631,0.292537423396455,10.8989526797812,1.16591537743067e-27,2.59182988402837e-25,3.1883515346631
"ENSG00000143333.7",1554.38459916311,2.98138614671093,0.0871699443065707,34.2019966908043,2.25819667877638e-256,6.02396546030387e-253,2.98138614671093
"ENSG00000108551.5",200.488314995593,2.81700186680816,0.194112674305228,14.5121995608521,1.01415643089181e-47,4.66442016387414e-45,2.81700186680816
"ENSG00000118523.6",58.270462086236,2.640690731874,0.284179862603211,9.29232179818837,1.50958729956057e-20,2.48578708660974e-18,2.640690731874
"ENSG00000232803.1",117.384976698257,2.28668637814978,0.388539346607259,5.88534056619288,3.97235155852288e-09,2.62293193502862e-07,2.28668637814978
"ENSG00000119508.18",56.3310809558562,2.13062557281204,0.278489335223387,7.65065409453825,1.99959560037195e-14,2.16834196079358e-12,2.13062557281204
"ENSG00000120738.8",1481.08971088277,2.08949438758824,0.258783841539808,8.07428460430681,6.78733985572215e-16,8.30546229317633e-14,2.08949438758824
"ENSG00000232445.2",59.5445645532616,1.93816145835759,0.44607789932588,4.34489460537402,1.39342548316301e-05,0.000453305099864104,1.93816145835759
"ENSG00000173334.4",3996.72514171887,1.79160806164669,0.0538711269199582,33.2572968876012,1.60115738451557e-242,3.55937286577811e-239,1.79160806164669
"ENSG00000259820.1",1067.03045667447,1.77583971272819,0.0737960980783337,24.064141045007,5.93707239175045e-128,7.19897014192432e-125,1.77583971272819
"ENSG00000218281.1",47.48439339281,1.73885012347608,0.266706518239951,6.51971363486388,7.04417451773933e-11,5.43916698422619e-09,1.73885012347608
"ENSG00000123358.20",589.556302821825,1.71257737309226,0.100988831821457,16.9580867726049,1.67717139345061e-64,1.05130340956408e-61,1.71257737309226
"ENSG00000064300.9",172.208968362794,1.6926421136604,0.18924300851621,8.94427818988839,3.74388452101002e-19,5.36945502593888e-17,1.6926421136604
"ENSG00000114315.4",3238.40031738473,1.64770803241564,0.0462041195015708,35.6614962083548,1.56338327398402e-278,5.2131015270997e-275,1.64770803241564
"ENSG00000141622.14",521.183352095048,1.58064193394812,0.160987756725438,9.81839840556247,9.38222543099715e-23,1.62519639998234e-20,1.58064193394812
"ENSG00000215417.13",123.571269954855,1.57295234247359,0.205217360246355,7.66481130341666,1.79094310337275e-14,1.97418174485833e-12,1.57295234247359
"ENSG00000277157.2",61.1163866418082,1.52129054583535,0.256183492922667,5.93828481484002,2.88019366171882e-09,1.97005246461567e-07,1.52129054583535
"ENSG00000124575.7",196.596617538471,1.48905190184176,0.136368607930402,10.9193158487159,9.31951482216475e-28,2.14316704651782e-25,1.48905190184176
"ENSG00000225684.4",45.1620860310111,1.4715225479822,0.286576498994874,5.13483329283231,2.82394227325819e-07,1.38012644643943e-05,1.4715225479822
"ENSG00000282988.2",173.679181797989,1.40137549817063,0.155402228890922,9.01773100792695,1.92025147160503e-19,2.78394718785521e-17,1.40137549817063
"ENSG00000261026.1",53.2975227610912,1.39578410105068,0.280630334291986,4.97374635059377,6.56712254721134e-07,2.98949762917081e-05,1.39578410105068
"ENSG00000125148.7",22816.5769258248,1.38750316886752,0.0792672337194951,17.5041199719106,1.33270823327086e-68,9.87536800853709e-66,1.38750316886752
"ENSG00000124216.4",111.942146222432,1.25879264977864,0.191774455082906,6.5639224433434,5.24104686970085e-11,4.13639545254852e-09,1.25879264977864
"ENSG00000197837.3",262.958465778543,1.23828813135182,0.11376090799705,10.8850056944335,1.35890134267286e-27,2.97131575550339e-25,1.23828813135182
"ENSG00000260597.1",250.407506675772,1.23768329683484,0.134777613753453,9.18315187786982,4.1865425484215e-20,6.41840281733861e-18,1.23768329683484
"ENSG00000187678.10",140.579384363743,1.22183526520526,0.178436057604345,6.84746839629519,7.51682908214285e-12,6.510354954391e-10,1.22183526520526
"ENSG00000261324.2",568.195596640563,1.21038578714727,0.0826243805029546,14.6492570326018,1.36196832078301e-48,6.48783337950136e-46,1.21038578714727
"ENSG00000120129.6",1495.46702808199,1.20440175669692,0.0559148585478035,21.5399231613407,6.58159024837779e-103,6.75271159483561e-100,1.20440175669692
"ENSG00000139318.8",163.474061333285,1.1991207149465,0.183928706555463,6.51948647605427,7.05484996454589e-11,5.43916698422619e-09,1.1991207149465
"ENSG00000235027.1",115.16441865962,1.19521690582051,0.187771370484171,6.365277639177,1.94936794919958e-10,1.45255138024715e-08,1.19521690582051
"ENSG00000183153.7",78.8890350892566,1.17990923604157,0.227992185421292,5.17521788679421,2.27645161166464e-07,1.14147787956327e-05,1.17990923604157
"ENSG00000143507.18",350.673488274781,1.14703652758976,0.110836668522022,10.3488903346265,4.23364158220205e-25,8.42810618259864e-23,1.14703652758976
"ENSG00000277224.2",415.000682228086,1.14558579950815,0.0965373964116582,11.8667567397727,1.76165466684907e-32,4.79529590743527e-30,1.14558579950815
"ENSG00000274290.3",230.351355907648,1.13909363999589,0.122894480515286,9.26887550376358,1.88118670903621e-20,3.05991077135671e-18,1.13909363999589
"ENSG00000198342.10",401.791204803226,1.13419282409517,0.102207502335417,11.0969625338564,1.29779806814372e-28,3.09107689873231e-26,1.13419282409517
"ENSG00000275993.3",85.850479959328,1.12728576152057,0.23055648461717,4.88941251594978,1.01137357058873e-06,4.40839891650735e-05,1.12728576152057
"ENSG00000125740.14",44.6112955332037,1.12077746918934,0.27680762914997,4.04893995382665,5.14501419276919e-05,0.00138634746066981,1.12077746918934
"ENSG00000125968.9",381.086729935835,1.11556459642987,0.0964990232479733,11.5603718968555,6.54248263171482e-31,1.67814679503485e-28,1.11556459642987
"ENSG00000185022.12",299.733898662846,1.08417414404616,0.119714852394847,9.05630439630254,1.34945124975025e-19,1.99988675212987e-17,1.08417414404616
"ENSG00000286522.2",91.82363230523,1.07677633546421,0.204022405284204,5.2777357171349,1.30789908181446e-07,6.84108155029068e-06,1.07677633546421
"ENSG00000136997.21",7252.78916780625,1.07449629330312,0.0430499050618656,24.959318534129,1.69169244420704e-137,2.25637938208334e-134,1.07449629330312
"ENSG00000113369.9",8951.67371312892,1.02340928172009,0.0384794336610281,26.5962667417476,7.49773709877319e-156,1.11116463803819e-152,1.02340928172009
"ENSG00000179388.9",2548.19786183009,1.02249443351434,0.0587942991170817,17.3910472421512,9.64556168580539e-68,6.43262508826361e-65,1.02249443351434
"ENSG00000179082.3",211.857956292669,1.02044109487111,0.130650603363232,7.81045834158222,5.69803905743015e-15,6.49576452547037e-13,1.02044109487111
"ENSG00000217275.2",283.901883565374,1.01480527733543,0.118333074746904,8.57583798533026,9.83679357594602e-18,1.3526098218141e-15,1.01480527733543
"ENSG00000120875.9",758.142693832675,1.0074478550087,0.080870638331749,12.4575232221604,1.27261864172483e-35,3.7720416540724e-33,1.0074478550087
"ENSG00000254632.2",55.586007882196,0.993630959458177,0.25386014201078,3.91408809428611,9.07465030481953e-05,0.00226662332894537,0.993630959458177
"ENSG00000128917.8",57.6648917358508,0.986631080190496,0.256933276890051,3.84002840010757,0.000123020078233,0.00287151131101569,0.986631080190496
"ENSG00000177606.8",6731.88294531572,0.984164607798089,0.0442878211880547,22.2220145718873,2.10416693899613e-109,2.33878155269419e-106,0.984164607798089
"ENSG00000159176.14",16620.650608874,0.966313838428295,0.0322043918181372,30.0056540078511,8.28069899751218e-198,1.38059954036022e-194,0.966313838428295
"ENSG00000203814.6",871.86370597847,0.946287849550225,0.0704209700686945,13.4375861142943,3.64121733281589e-41,1.34907102180829e-38,0.946287849550225
"ENSG00000273802.2",1587.47552673196,0.944022345126521,0.055674408839177,16.9561269676604,1.73404371048206e-64,1.05130340956408e-61,0.944022345126521
"ENSG00000261150.3",3560.44525885302,0.931980099513563,0.0573834068023383,16.2412821309798,2.57485816570522e-59,1.49319383539897e-56,0.931980099513563
"ENSG00000231528.3",201.015877602809,0.917647663831232,0.138320857584207,6.63419588237142,3.26276303175673e-11,2.60591217470486e-09,0.917647663831232
"ENSG00000168874.13",83.4401979900876,0.904641940238114,0.219133527113443,4.12826805717316,3.65505874230407e-05,0.00102311729136906,0.904641940238114
"ENSG00000257671.1",47.7652721425353,0.899707688467366,0.264929821807369,3.39602269887739,0.000683726892460014,0.0122410057605794,0.899707688467366
"ENSG00000115738.10",3465.77804779702,0.894093353960246,0.0507716181182207,17.610101609887,2.06074795921842e-69,1.71789101750346e-66,0.894093353960246
"ENSG00000164949.8",236.855509791631,0.872329641602473,0.118690800553858,7.34959775763448,1.98804210929349e-13,1.97884370550422e-11,0.872329641602473
"ENSG00000143384.14",31715.2458806154,0.868886847780608,0.0261888644663312,33.1777213516707,2.25654300670188e-241,4.2996815176271e-238,0.868886847780608
"ENSG00000062716.13",32959.8960741165,0.867268582834352,0.0429599815835212,20.1878248282821,1.2525893041207e-90,1.11380240922413e-87,0.867268582834352
"ENSG00000185130.5",54.7347541397632,0.865542228979415,0.249861956620753,3.46408169008761,0.000532044913428416,0.0100090480328748,0.865542228979415
"ENSG00000128016.7",3379.1943318151,0.861760576947699,0.132915880401699,6.48350350871004,8.96167929364893e-11,6.8303359096394e-09,0.861760576947699
"ENSG00000188483.8",1568.78037168183,0.835843464613935,0.0564899195031477,14.7963295392439,1.546970526901e-49,7.64203440289094e-47,0.835843464613935
"ENSG00000178372.8",227.410367674793,0.832205491936845,0.150829406577914,5.51752811880853,3.43801088470136e-08,1.98511641472497e-06,0.832205491936845
"ENSG00000162772.17",975.838188392637,0.831215952834852,0.0662406631695732,12.5484243825726,4.05498402171817e-36,1.2292131109472e-33,0.831215952834852
"ENSG00000099860.9",4360.18307490635,0.80685186194143,0.0388280959018973,20.7801037676432,6.55168806656417e-96,6.24188681655949e-93,0.80685186194143
"ENSG00000276966.2",358.976279990362,0.796549679508482,0.103757937512919,7.67699993467298,1.62857514309615e-14,1.81016127155137e-12,0.796549679508482
"ENSG00000197153.5",146.970772032196,0.796545187716469,0.154027535236376,5.171446692918,2.32288541452083e-07,1.16039871381569e-05,0.796545187716469
"ENSG00000261889.1",83.6300122884024,0.783992207451791,0.233124174696904,3.36298116002383,0.000771056257649532,0.0134306623740768,0.783992207451791
"ENSG00000107968.10",367.782433092603,0.775395977553554,0.112868087445364,6.8699310416587,6.42329464900648e-12,5.59960157048682e-10,0.775395977553554
"ENSG00000223749.11",1137.61489350833,0.771912281787284,0.065585735882624,11.7695146879002,5.60460015807846e-32,1.49508313816901e-29,0.771912281787284
"ENSG00000138166.6",1268.63748105191,0.766577823147088,0.0618692894710749,12.3902800517125,2.95011363688265e-35,8.5540468888567e-33,0.766577823147088
"ENSG00000214389.2",79.0699724894496,0.76357469528728,0.229773825892973,3.32315785890664,0.000890045314633871,0.0151722324085092,0.76357469528728
"ENSG00000078401.7",270.7841108144,0.761525044722525,0.129866022696921,5.86392829246613,4.52042759516414e-09,2.97012134306893e-07,0.761525044722525
"ENSG00000172602.11",161.818373424486,0.76116424436621,0.168080992143952,4.52855635046653,5.93880441667185e-06,0.000215249383993394,0.76116424436621
"ENSG00000141579.7",264.145937334874,0.756299986975307,0.110743653337988,6.82928514799027,8.53387996875803e-12,7.34354135634159e-10,0.756299986975307
"ENSG00000203709.12",566.217569168246,0.754333946545272,0.0898848942674896,8.39222154837764,4.7704085798513e-17,6.36277096380567e-15,0.754333946545272
"ENSG00000148841.17",420.178727673495,0.752124568687329,0.0941746408884533,7.98648724955792,1.38838117767816e-15,1.66830884215057e-13,0.752124568687329
"ENSG00000175505.11",96.7533042729056,0.751373911494195,0.222649021853074,3.37470115628905,0.000738958882786801,0.0130008610347844,0.751373911494195
"ENSG00000279799.1",58.4241979372736,0.732149351603021,0.244199180745094,2.99816465136822,0.00271610889634417,0.036741846307747,0.732149351603021
"ENSG00000163435.16",1765.05969096493,0.728946996664483,0.0524276515302047,13.9038651434639,6.00111518675588e-44,2.35420218708676e-41,0.728946996664483
"ENSG00000105649.10",160.443838465615,0.727814201469658,0.176310506848451,4.12802512158424,3.65892148735225e-05,0.00102311729136906,0.727814201469658
"ENSG00000237232.9",82.1803917463117,0.726020662123555,0.218715962555565,3.31946810667333,0.000901891062367291,0.015304609401851,0.726020662123555
"ENSG00000173846.13",241.514522049936,0.725929207602262,0.12301054729196,5.90135743302808,3.60522885121189e-09,2.42861325340728e-07,0.725929207602262
"ENSG00000111859.17",1056.66520292739,0.720460224354233,0.0566620112276343,12.715048561546,4.87806396837635e-37,1.54913374310009e-34,0.720460224354233
"ENSG00000272931.1",119.106397088778,0.719245533213312,0.174170334699503,4.12955245480942,3.63470071884664e-05,0.00102062396185214,0.719245533213312
"ENSG00000196787.3",1268.4464310365,0.699579457254341,0.0716739864333967,9.76057691313747,1.66207014122192e-22,2.810730674563e-20,0.699579457254341
"ENSG00000176428.6",69.0254116338981,0.698239139041383,0.214956919606037,3.24827477208495,0.00116107088639371,0.0187713496760235,0.698239139041383
"ENSG00000158373.8",1510.54587279879,0.693639588297994,0.0561118546311378,12.3617298493833,4.20998402118063e-35,1.1947397207342e-32,0.693639588297994
"ENSG00000272384.1",96.7339964645301,0.691098811193605,0.198814908653072,3.47609148567203,0.000508778695504616,0.00963933272818262,0.691098811193605
"ENSG00000233822.5",501.161733175459,0.691041096232654,0.0883497062706298,7.82165697434104,5.21325087528252e-15,6.04646436300159e-13,0.691041096232654
"ENSG00000163637.13",828.80518992646,0.686757367358941,0.0657126758364399,10.4509116181525,1.45123498550055e-25,2.93281397524339e-23,0.686757367358941
"ENSG00000137462.9",93.1729972117263,0.684093687216994,0.207016320907305,3.30453987501452,0.000951324419349836,0.015980812475174,0.684093687216994
"ENSG00000100292.18",1872.79463373152,0.681574848596606,0.174608333876678,3.9034497006196,9.48312656487026e-05,0.00235541791661526,0.681574848596606
"ENSG00000130222.11",424.005437549976,0.675992246726827,0.0925553002901031,7.30365786300745,2.80047953112364e-13,2.76687377675016e-11,0.675992246726827
"ENSG00000221869.5",404.430002762513,0.675496579926011,0.103199761769924,6.54552460529879,5.92868955400719e-11,4.62437785212561e-09,0.675496579926011
"ENSG00000152454.4",351.546309504809,0.669413216360487,0.0948198324608925,7.0598439059316,1.66689743796899e-12,1.5547607012329e-10,0.669413216360487
"ENSG00000188868.14",224.448288454449,0.665811455458348,0.123457426743892,5.39304497929923,6.92736029241175e-08,3.86598876904552e-06,0.665811455458348
"ENSG00000173848.19",24374.8903721526,0.662864930910586,0.0377333228220687,17.5670967021993,4.40127633508793e-69,3.4531896327884e-66,0.662864930910586
"ENSG00000143382.16",157.847019318958,0.654645124445244,0.157523796499471,4.1558490779991,3.24081711553291e-05,0.000923632877926879,0.654645124445244
"ENSG00000273983.1",386.96576066858,0.647495612028715,0.109417174585973,5.91767804715115,3.26518317338713e-09,2.22199046768559e-07,0.647495612028715
"ENSG00000142627.13",684.622207621073,0.645491205705182,0.0699967582726507,9.22173000056476,2.9234481224974e-20,4.53406407649655e-18,0.645491205705182
"ENSG00000181472.5",3972.6636039599,0.64212191228052,0.0418504961372073,15.3432329732798,3.93118686931075e-53,2.18475710261945e-50,0.64212191228052
"ENSG00000170684.9",187.591783659149,0.638681937799932,0.151130618770791,4.22602608918431,2.37854427230988e-05,0.000706570679377931,0.638681937799932
"ENSG00000124657.1",119.747188463423,0.637292874469763,0.166215841373096,3.83412837913123,0.000126010320628526,0.00292809347829839,0.637292874469763
"ENSG00000172818.10",1406.92038726171,0.634322509589253,0.0583356048798131,10.873676734751,1.53872259299578e-27,3.31023902344803e-25,0.634322509589253
"ENSG00000223523.1",287.350234309966,0.633923949932447,0.111038560771286,5.70904328666676,1.13612995780905e-08,7.04823319872424e-07,0.633923949932447
"ENSG00000287566.1",131.452277143171,0.633276218383254,0.168559002331597,3.75700027660015,0.000171962306628311,0.003810022003004,0.633276218383254
"ENSG00000272468.1",93.1017485652308,0.628511549979377,0.204290046687863,3.07656471849403,0.0020940083976492,0.0299676867036964,0.628511549979377
"ENSG00000253671.3",73.8180010882443,0.627124473591327,0.205084521115736,3.05788301418136,0.00222906577835034,0.0314928945700534,0.627124473591327
"ENSG00000120833.14",208.572235671711,0.625977060806189,0.163981162141799,3.81737177996636,0.000134880843830615,0.00309645558521987,0.625977060806189
"ENSG00000067082.15",2850.76179893849,0.619841634299074,0.0447083246158828,13.8641212710278,1.04497973216718e-43,3.98226847647026e-41,0.619841634299074
"ENSG00000185112.6",704.965227261506,0.616915288562578,0.0766566746853287,8.04777002257117,8.43161952417051e-16,1.02237219284897e-13,0.616915288562578
"ENSG00000278828.1",2810.64164752239,0.615746668457946,0.0528693436570765,11.6465729639435,2.38873162780201e-31,6.24723577482808e-29,0.615746668457946
"ENSG00000118515.11",88.2706981463163,0.611147185441826,0.191527016275944,3.19091894879891,0.00141821059628206,0.0219954568990816,0.611147185441826
"ENSG00000141582.15",5327.50282452908,0.610034227064228,0.0403980703099599,15.100578378711,1.60519186686584e-51,8.23463427702174e-49,0.610034227064228
"ENSG00000185950.9",823.805497840547,0.600196397205615,0.0647772077978582,9.26554906593951,1.94076193905863e-20,3.11878105339326e-18,0.600196397205615
